"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Strymon bebrycia","2011-06-17 15:20:00 -0500","Red-lined Scrub-Hairstreak
Strymon bebrycia
Sabal Palm Sanctuary
Cameron County, TX
17 June, 2011","Brownsville, TX, USA",25.8520966667,-97.4176333333,"","Red-lined Scrub-Hairstreak","https://www.inaturalist.org/observations/8320433","https://static.inaturalist.org/photos/11049920/medium.jpg?1507512295","leehoy",8320433,"Red-lined Scrub-Hairstreak","Insecta",258230,"false",1,0,"2011/06/17 3:20 PM CDT","2011-06-17","2011-06-17 13:20:00 -0700","Central Time (US & Canada)",NA,NA,NA,"false",NA,"",NA,18373,"2017-10-08 18:26:11 -0700","2017-10-08 23:23:08 -0700","research","CC-BY",NA,"false"
"Strymon bebrycia","2017-06-10 13:35:00 -1000","","Mazatlán, MX-SI, MX",23.299,-106.443,"","Red-lined Scrub-Hairstreak","https://www.inaturalist.org/observations/6584410","https://static.inaturalist.org/photos/8355735/medium.jpeg?1497143841","francisco3",6584410,"Strymon bebrycia","Insecta",258230,"false",1,0,"2017/06/10 1:35 PM HST","2017-06-10","2017-06-10 16:35:00 -0700","Hawaii",NA,NA,NA,"false",NA,"",NA,21626,"2017-06-10 18:27:31 -0700","2017-06-11 06:22:12 -0700","research","CC-BY",NA,"false"
"Strymon bebrycia","2017-06-10 13:35:00 -1000","","Mazatlán, MX-SI, MX",23.299,-106.443,"","Red-lined Scrub-Hairstreak","https://www.inaturalist.org/observations/6584409","https://static.inaturalist.org/photos/8355732/medium.jpeg?1497143842","francisco3",6584409,"Strymon bebrycia","Insecta",258230,"false",1,0,"2017/06/10 1:35 PM HST","2017-06-10","2017-06-10 16:35:00 -0700","Hawaii",NA,NA,NA,"false",NA,"",NA,21626,"2017-06-10 18:27:31 -0700","2017-06-11 06:22:47 -0700","research","CC-BY",NA,"false"
"Strymon bebrycia","2016-06-12 13:01:00 -0500","","Monterrey, N.L., México",25.5448552684,-100.2708113194,"","Red-lined Scrub-Hairstreak","http://conabio.inaturalist.org/observations/6353916","https://static.inaturalist.org/photos/8011563/medium.jpg?1495685123","ignacio_a_rodriguez",6353916,"Strymon bebrycia","Insecta",258230,"false",1,0,"2016/06/12 1:01 PM CDT","2016-06-12","2016-06-12 11:01:00 -0700","Central Time (US & Canada)",8,NA,NA,"false",NA,"",NA,236600,"2017-05-24 21:22:03 -0700","2017-05-25 07:29:54 -0700","research","",NA,"false"
"Strymon bebrycia","2016-12-28 11:48:00 -0600","","Monterrey, N.L., México",25.5524636095,-100.2710151672,"","Red-lined Scrub-Hairstreak","http://conabio.inaturalist.org/observations/6279777","https://static.inaturalist.org/photos/7903137/medium.jpg?1495245681","ignacio_a_rodriguez",6279777,"Red-lined Scrub-Hairstreak","Insecta",258230,"false",1,0,"2016/12/28 11:48 AM CST","2016-12-28","2016-12-28 10:48:00 -0700","Central Time (US & Canada)",244,NA,NA,"false",NA,"",NA,236600,"2017-05-19 19:16:43 -0700","2017-05-19 22:41:33 -0700","research","",NA,"false"
"Strymon bebrycia","2014-07-16 11:36:00 -0500","","Tehuantepec, Oax., México",16.3226994,-95.24233,"","Red-lined Scrub-Hairstreak","http://conabio.inaturalist.org/observations/5035889","https://static.inaturalist.org/photos/6167590/medium.jpeg?1485915519","juancarlosgarciamorales1",5035889,"Strymon bebrycia","Insecta",258230,"false",1,0,"2014/07/16 11:36 AM CDT","2014-07-16","2014-07-16 09:36:00 -0700","Central Time (US & Canada)",4480,NA,NA,"false",NA,"",NA,64596,"2017-01-31 19:22:24 -0700","2017-10-13 17:14:58 -0700","research","",NA,"false"
"Strymon bebrycia","2013-02-08 17:17:00 -0600","","Estero Llano Grande State Park, Weslaco, TX, United States",26.1283176,-97.9580712,"","Red-lined Scrub-Hairstreak","http://www.inaturalist.org/observations/3896020","https://static.inaturalist.org/photos/4576535/medium.jpeg?1471312586","johnyochum",3896020,"Red-lined Scrub-Hairstreak","Insecta",258230,"false",1,0,"2013/02/08 5:17 PM CST","2013-02-08","2013-02-08 16:17:00 -0700","Central Time (US & Canada)",NA,NA,NA,"false",NA,"",NA,12103,"2016-08-15 18:56:50 -0700","2017-09-26 06:16:40 -0700","research","CC-BY",NA,"false"
"Strymon bebrycia","2015-09-18 13:30:54 -0500","","Paco's Nature Reserve, Mazatlan; Sinaloa",23.297276,-106.451546,"","Red-lined Scrub-Hairstreak","http://conabio.inaturalist.org/observations/2114106","https://static.inaturalist.org/photos/2526324/medium.JPG?1444855138","juancruzado",2114106,"Strymon bebrycia","Insecta",258230,"false",1,0,"2015-09-18 13:30:54","2015-09-18","2015-09-18 11:30:54 -0700","Monterrey",1200,NA,NA,"false",NA,"manual",NA,5772,"2015-10-14 13:38:02 -0700","2016-12-12 14:01:13 -0700","research","CC-BY-NC-SA",NA,"false"
"Strymon bebrycia","2008-11-22 00:00:00 -0400","","Cochise County, US-AZ, US",31.455936,-109.932235,"butterfly","Red-lined Scrub-Hairstreak","http://inaturalist.ca/observations/1966190","https://static.inaturalist.org/photos/2409192/medium.jpg?1442784492","bevwigney",1966190,"Strymon bebrycia","Insecta",258230,"false",1,0,"2008-11-22","2008-11-22","","Atlantic Time (Canada)",NA,NA,NA,"false",NA,"",NA,118133,"2015-09-20 14:27:11 -0700","2017-01-16 22:48:49 -0700","research","CC-BY-NC",NA,"false"
"Strymon bebrycia","2015-01-22 00:00:00 -0600","Thanks to Andrew Warren for ID. Dorsal view suggestive of S. bebrycia, but had also wondered about possibility of S. yojoa. Ventral view (seen to small extent in second picture of individual in flight) is diagnostic, ruling out S. yojoa and confirming S. bebrycia. Similar individual seen here http://butterfliesofamerica.com/imagehtmls/Lycaenidae/Strymon_bebrycia_F_USA_TEXAS_Hidalgo_Co._Mission_27-XI-2010_HANSON_2_i.htm","Cuernavaca, Mexico",18.92421,-99.221566,"","Red-lined Scrub-Hairstreak","http://www.inaturalist.org/observations/1197884","https://static.inaturalist.org/photos/1512727/medium.JPG?1422402655","emckiernan",1197884,"Strymon bebrycia","Insecta",258230,"false",2,0,"2015-01-22","2015-01-22","","Central Time (US & Canada)",10807,NA,NA,"false",NA,"",NA,31033,"2015-01-27 16:50:43 -0700","2015-05-13 16:52:16 -0700","research","CC-BY-NC-ND",NA,"false"
"Strymon bebrycia","2013-10-31 11:58:16 -0600","","La Estanzuela, Monterrey, Nuevo Leon, Mexico",25.550827,-100.270141,"","Red-lined Scrub-Hairstreak","http://conabio.inaturalist.org/observations/451426","https://static.inaturalist.org/photos/569270/medium.JPG?1383950653","aztekium",451426,"Strymon bebrycia","Insecta",258230,"true",1,0,"2013-10-31 11:58:16","2013-10-31","2013-10-31 10:58:16 -0700","Monterrey",NA,NA,NA,"false",NA,"",NA,16744,"2013-11-08 15:43:53 -0700","2017-04-15 16:17:57 -0700","research","CC-BY-NC",NA,"false"
