"taxon_id","total","01","02","03","04","05","06","07","08","09","10","11","12"
104876,4,0,0,0,0,1,3,0,0,0,0,0,0
108343,42,0,0,3,2,1,1,4,8,11,12,0,0
113324,4,0,0,0,0,0,0,1,3,0,0,0,0
116699,6,0,0,1,1,0,1,1,1,0,0,0,1
117316,10,0,0,0,0,0,1,9,0,0,0,0,0
117317,56,0,1,3,5,8,13,8,7,3,8,0,0
117322,36,0,0,0,0,1,9,22,2,2,0,0,0
117333,56,0,0,0,0,0,5,37,14,0,0,0,0
117334,9,0,0,0,0,0,3,5,1,0,0,0,0
117335,28,0,0,0,0,0,0,13,14,1,0,0,0
117336,66,0,0,0,0,0,6,36,22,2,0,0,0
117338,1,0,0,0,0,0,1,0,0,0,0,0,0
117339,14,0,0,1,2,2,2,6,1,0,0,0,0
117345,38,0,0,2,0,10,18,8,0,0,0,0,0
117346,26,0,0,0,2,1,16,7,0,0,0,0,0
117360,127,1,4,4,12,13,29,31,16,12,1,4,0
117371,2,0,0,0,0,0,0,2,0,0,0,0,0
117372,19,0,1,0,1,8,8,0,1,0,0,0,0
117373,15,0,0,1,1,3,8,2,0,0,0,0,0
117374,36,0,0,0,1,7,6,1,9,11,1,0,0
117376,30,0,0,0,0,0,14,14,0,2,0,0,0
117381,51,0,0,0,1,2,11,14,12,9,2,0,0
118914,1046,13,3,63,153,201,155,133,117,71,71,41,25
119068,334,0,4,44,58,47,24,34,31,56,28,4,4
119150,4,0,0,0,0,0,1,3,0,0,0,0,0
119280,3,0,0,0,0,0,0,2,1,0,0,0,0
121993,268,11,14,27,15,27,23,20,33,28,44,11,15
122013,17,1,0,0,3,7,1,0,2,2,1,0,0
122172,1123,21,7,15,38,67,99,125,157,180,246,134,34
122280,155,0,4,7,6,23,25,21,19,16,18,13,3
122281,962,8,18,58,78,100,104,96,197,202,87,12,2
122363,26,0,0,4,1,6,6,1,4,0,4,0,0
122364,10,0,0,0,0,4,4,2,0,0,0,0,0
122365,9,0,0,0,0,3,4,2,0,0,0,0,0
122371,45,0,3,16,10,6,10,0,0,0,0,0,0
122372,38,0,0,0,0,2,12,2,14,7,1,0,0
122374,162,6,0,2,10,22,16,22,26,16,22,11,9
122375,207,0,0,0,3,44,146,14,0,0,0,0,0
122377,98,4,6,6,7,7,9,13,10,4,11,15,6
122379,16,0,0,0,10,4,1,1,0,0,0,0,0
122381,2610,8,10,46,219,310,333,463,502,529,152,24,14
122382,79,2,1,3,6,21,28,13,2,3,0,0,0
122383,150,0,0,0,3,4,42,48,34,17,1,1,0
122384,28,0,0,0,0,0,2,15,10,1,0,0,0
122385,6,0,0,0,0,0,4,2,0,0,0,0,0
123312,74,7,0,5,7,8,7,4,6,9,6,10,5
125537,154,8,12,23,16,13,14,7,12,21,15,6,7
126118,53,0,0,2,4,13,34,0,0,0,0,0,0
126162,46,0,0,0,0,6,34,5,0,0,0,1,0
126589,513,10,42,88,49,57,42,35,14,22,100,45,9
126606,47,4,1,3,2,3,4,6,9,5,5,3,2
127302,9,0,0,0,2,7,0,0,0,0,0,0,0
127303,148,0,26,43,53,24,2,0,0,0,0,0,0
127304,99,0,0,7,18,10,10,10,24,15,4,0,1
127490,136,0,4,6,18,11,5,8,28,39,16,0,1
127928,204,1,0,1,7,18,36,80,49,10,0,1,1
127929,112,0,0,0,12,20,24,37,14,5,0,0,0
128083,26,0,0,4,4,2,3,0,3,6,1,2,1
128085,10,0,0,0,0,5,0,1,4,0,0,0,0
129362,699,22,25,20,55,31,22,38,55,86,162,150,33
129363,247,5,7,13,27,18,19,23,27,32,41,34,1
129365,55,0,0,1,0,2,2,8,34,8,0,0,0
129415,168,0,0,9,20,21,14,17,34,31,16,5,1
130219,31,0,5,4,5,4,3,5,3,1,0,1,0
130294,4,0,1,2,1,0,0,0,0,0,0,0,0
130300,107,4,6,7,10,15,7,11,12,11,10,10,4
130321,7,0,0,0,1,0,1,1,2,0,1,1,0
130474,137,9,8,7,8,10,11,7,13,13,25,20,6
130659,23,0,0,2,2,2,1,0,2,2,5,5,2
130660,19,4,1,1,1,0,1,1,1,2,4,1,2
130661,336,33,17,10,7,15,16,25,23,30,60,49,51
130662,5,1,1,1,0,0,1,0,0,0,0,0,1
130666,1,0,0,0,0,0,0,0,0,0,0,1,0
130785,48,0,0,0,0,4,10,30,4,0,0,0,0
132077,69,0,2,4,4,13,1,12,26,6,1,0,0
132125,7,1,1,0,0,0,0,0,1,0,0,2,2
132201,5,0,1,1,0,1,1,0,0,1,0,0,0
132331,21,2,2,0,2,1,0,1,2,6,3,2,0
132334,242,12,10,23,14,17,26,19,15,13,26,45,22
132536,14,1,3,1,1,1,1,0,1,0,3,1,1
132553,358,17,17,29,32,19,21,19,11,14,63,87,29
133416,183,16,12,17,9,11,4,17,20,17,29,22,9
133417,129,7,3,2,2,7,11,13,16,19,30,6,13
133450,108,6,4,9,11,11,13,9,14,6,5,12,8
133631,911,0,0,0,0,37,148,221,369,122,13,1,0
142636,22,0,1,0,0,8,1,3,3,2,3,1,0
142639,72,0,0,0,0,0,14,56,2,0,0,0,0
142775,12,0,0,0,0,0,0,6,5,1,0,0,0
142988,1243,9,8,26,68,50,51,105,155,265,415,72,19
143021,58,3,2,7,2,1,4,7,7,9,5,5,6
143146,15,0,0,0,2,1,1,9,1,1,0,0,0
143664,49,0,0,0,3,4,4,7,26,5,0,0,0
143767,21,0,0,0,0,0,2,17,2,0,0,0,0
144187,382,16,14,11,3,11,13,18,36,25,132,83,20
144271,13,0,0,0,0,2,10,1,0,0,0,0,0
145586,46,1,0,2,2,5,6,2,5,15,2,5,1
146611,5,0,0,0,1,3,0,0,1,0,0,0,0
146728,116,1,3,7,17,10,7,10,17,8,19,11,6
146736,105,6,3,3,0,0,5,11,14,9,30,19,5
146840,30,0,1,1,2,5,7,1,2,2,5,3,1
147931,368,5,2,0,0,0,3,13,39,80,161,55,10
148356,27,1,0,0,2,6,2,1,6,5,4,0,0
148463,41,4,2,1,4,4,2,6,5,0,6,4,3
148464,40,2,0,2,4,1,3,5,7,6,5,4,1
148465,33,0,0,5,10,3,4,8,1,1,0,1,0
148466,96,1,0,6,18,21,29,13,4,3,1,0,0
148468,4,0,0,0,1,2,0,0,0,0,0,0,1
148470,34,2,0,3,3,1,3,2,6,0,5,6,3
148475,127,8,11,14,2,11,9,8,15,6,22,11,10
148487,11,1,1,0,0,0,0,0,2,1,5,1,0
148488,11,2,0,2,0,0,0,0,1,0,5,0,1
148489,64,3,1,7,9,8,1,7,13,9,3,1,2
148491,4,0,1,0,1,1,1,0,0,0,0,0,0
148493,11,0,0,0,2,0,2,2,1,2,0,1,1
148494,3,0,0,0,0,0,0,0,1,0,0,1,1
148495,20,1,0,3,1,1,3,3,0,1,0,4,3
148496,40,3,2,11,0,3,2,3,3,4,0,5,4
148497,40,6,7,2,3,2,8,5,0,3,3,1,0
148508,95,10,8,6,10,3,5,10,12,6,7,6,12
148516,95,3,4,11,8,7,7,6,16,8,8,14,3
148517,289,16,10,8,7,10,12,22,19,22,70,70,23
148518,51,1,1,3,1,0,2,8,9,9,16,0,1
148519,69,1,1,4,6,5,9,3,4,16,10,9,1
148520,42,0,1,1,0,6,2,5,8,3,11,4,1
148521,15,0,0,2,1,0,0,1,4,4,1,1,1
148522,65,0,3,7,0,6,12,3,11,5,13,5,0
148523,8,1,0,1,1,0,0,1,0,2,1,0,1
148524,182,4,7,20,9,4,10,24,24,29,30,12,9
148526,11,1,0,1,1,1,0,1,0,1,2,2,1
148527,29,2,0,4,2,0,2,3,2,7,2,3,2
148528,65,1,3,10,1,3,6,8,7,1,10,15,0
148530,7,0,0,2,0,2,0,2,1,0,0,0,0
148532,11,0,0,0,2,0,1,2,4,1,1,0,0
148534,44,6,5,3,3,0,0,1,2,4,6,8,6
148535,38,5,0,8,5,0,1,0,0,0,0,3,16
148537,237,10,11,8,15,14,21,18,29,15,25,45,26
148539,10,0,2,1,1,1,1,0,1,1,0,2,0
148540,9,1,0,0,0,0,1,0,1,0,2,3,1
148541,28,2,0,4,4,2,4,0,0,2,3,4,3
148542,25,2,1,0,3,1,1,1,1,3,6,4,2
148544,4,0,0,0,0,0,2,1,1,0,0,0,0
148592,51,4,0,2,4,1,2,2,2,11,7,7,9
148593,19,0,1,1,0,2,0,3,1,1,4,5,1
148594,12,1,2,0,0,0,0,0,1,0,0,7,1
148599,17,0,0,1,0,2,3,2,1,5,1,2,0
148600,15,0,0,0,1,1,0,1,3,0,2,3,4
148604,3,0,0,0,0,0,0,1,0,1,0,1,0
148607,34,0,2,1,3,1,3,10,6,3,5,0,0
148613,1,0,0,0,0,0,0,0,0,1,0,0,0
148614,18,4,2,3,0,1,0,0,0,1,2,2,3
148616,1,0,0,1,0,0,0,0,0,0,0,0,0
148617,20,0,0,1,1,3,0,4,4,1,2,1,3
148619,61,3,0,0,0,1,8,10,11,4,9,3,12
148672,12,2,2,1,1,0,0,0,1,1,1,2,1
148683,45,2,1,3,6,4,3,5,10,2,5,3,1
148688,5,1,0,2,0,1,0,0,0,0,0,1,0
148702,43,1,1,2,0,1,2,3,4,3,10,16,0
148707,3,0,0,2,0,0,0,0,0,1,0,0,0
148710,8,0,0,1,2,2,1,1,0,0,1,0,0
148730,1,0,0,0,0,0,0,0,1,0,0,0,0
