"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated"
"Satyrium sylvinus","2017-05-10 09:13:00 -0700","Big Morongo Canyon Preserve, Mesquite Trail. Sylvan hairstreaks have been common to abundant at the Morongo Preserve this year. ","San Bernardino County, CA, USA",34.048,-116.567,"","Sylvan Hairstreak","https://www.inaturalist.org/observations/7165658","https://static.inaturalist.org/photos/9231541/medium.jpg?1500770358","xranger2013",7165658,"Sylvan Hairstreak","Insecta",59134,"false",1,0,"2017/05/10 9:13 AM PDT","2017-05-10","2017-05-10 09:13:00 -0700","Pacific Time (US & Canada)",25,"","","false","","",NA,107502,"2017-07-22 17:42:06 -0700","2017-09-16 16:13:27 -0700","research","CC-BY-NC",NA,"false"
"Satyrium sylvinus","2017-05-27 14:48:00 -0700","","San Benito County, CA, USA",36.512031124,-121.1795425697,"","Sylvan Hairstreak","https://www.inaturalist.org/observations/6677450","https://static.inaturalist.org/photos/8463521/medium.jpg?1497592536","euproserpinus",6677450,"Sylvan Hairstreak","Insecta",59134,"false",1,0,"2017/05/27 2:48 PM PDT","2017-05-27","2017-05-27 14:48:00 -0700","Pacific Time (US & Canada)",1066,"","","false","","",NA,21370,"2017-06-15 22:56:50 -0700","2017-06-16 04:46:14 -0700","research","CC-BY-NC",NA,"false"
"Satyrium sylvinus","2017-05-30 13:11:00 -0700","","Los Angeles County, CA, USA",34.2815352946,-118.6043214798,"","Sylvan Hairstreak","https://www.inaturalist.org/observations/6440426","https://static.inaturalist.org/photos/8135882/medium.jpeg?1496203379","tiyumq",6440426,"Sylvan Hairstreak","Insecta",59134,"false",1,0,"2017/05/30 1:11 PM PDT","2017-05-30","2017-05-30 13:11:00 -0700","Pacific Time (US & Canada)",61,"","","false","","",NA,220046,"2017-05-30 21:23:14 -0700","2017-05-30 21:31:29 -0700","research","CC-BY-NC",NA,"false"
"Satyrium sylvinus","2017-05-30 13:13:00 -0700","","Los Angeles County, US-CA, US",34.3706053829,-118.7341350027,"","Sylvan Hairstreak","https://www.inaturalist.org/observations/6436479","https://static.inaturalist.org/photos/8129420/medium.jpg?1496183907","dlbowls",6436479,"Sylvan Hairstreak","Insecta",59134,"false",1,0,"2017/05/30 1:13 PM PDT","2017-05-30","2017-05-30 13:13:00 -0700","Pacific Time (US & Canada)",45,"Los Angeles County, CA, USA","obscured","true","","",NA,223005,"2017-05-30 15:49:14 -0700","2017-05-31 01:13:19 -0700","research","CC-BY-NC",NA,"false"
"Satyrium sylvinus dryope","2017-05-28 13:45:37 -0700","She is ovipositing on The Branch! ( not the leaves...) This tailless-form of the Sylvan Hairstreak has been given full species status by many...","California, US",37.5298328286,-121.468768804,"","Dryope Hairstreak","https://www.inaturalist.org/observations/6413034","https://static.inaturalist.org/photos/8092498/medium.jpg?1496033298","robberfly",6413034,"Dryope Hairstreak","Insecta",238400,"false",2,0,"Sun May 28 2017 13:45:37 GMT-0700 (PDT)","2017-05-28","2017-05-28 13:45:37 -0700","Pacific Time (US & Canada)",NA,"18100–18998 Del Puerto Canyon Rd, Newman, CA, US","","true","","",NA,13979,"2017-05-28 21:48:01 -0700","2017-05-30 21:17:05 -0700","research","CC-BY-NC",3,"false"
"Satyrium sylvinus","2017-05-27 18:19:00 -0700","","Los Angeles County, CA, USA",34.2382383333,-117.8102016667,"","Sylvan Hairstreak","https://www.inaturalist.org/observations/6400702","https://static.inaturalist.org/photos/8073989/medium.jpg?1495983254","glmory",6400702,"Sylvan Hairstreak","Insecta",59134,"false",1,0,"2017/05/27 6:19 PM PDT","2017-05-27","2017-05-27 18:19:00 -0700","Pacific Time (US & Canada)",NA,"","","false","","",NA,52839,"2017-05-28 08:00:17 -0700","2017-05-30 03:35:57 -0700","research","CC0",NA,"false"
"Satyrium sylvinus dryope","2017-05-19 14:05:00 -0700","With John Heyse and Nancy Asquith.","California, US",37.4479270334,-121.2883295857,"","Dryope Hairstreak","https://www.inaturalist.org/observations/6318231","https://static.inaturalist.org/photos/7957126/medium.jpeg?1495465201","djrawlinson",6318231,"Dryope Hairstreak","Insecta",238400,"false",1,0,"2017/05/19 2:05 PM PDT","2017-05-19","2017-05-19 14:05:00 -0700","Pacific Time (US & Canada)",2860,"Del Puerto Canyon Rd., near Patterson, Stanislaus Co., CA.","","true","","",NA,34476,"2017-05-22 08:00:11 -0700","2017-05-22 20:24:41 -0700","research","CC-BY-NC",NA,"false"
"Satyrium sylvinus","2017-05-20 10:10:00 -0700","","Los Angeles County, CA, USA",34.2408985042,-117.8807044029,"","Sylvan Hairstreak","https://www.inaturalist.org/observations/6294572","https://static.inaturalist.org/photos/7923582/medium.jpg?1495325476","kimssight",6294572,"Sylvan Hairstreak","Insecta",59134,"false",1,0,"2017/05/20 10:10 AM PDT","2017-05-20","2017-05-20 10:10:00 -0700","Pacific Time (US & Canada)",325,"","","false","","",NA,80984,"2017-05-20 17:25:02 -0700","2017-06-17 08:42:18 -0700","research","CC-BY-NC",NA,"false"
"Satyrium sylvinus","2016-05-22 13:38:00 -0700","Butterfly. ","Del Puerto Canyon, California, USA",37.438896,-121.33695,"","Sylvan Hairstreak","https://www.inaturalist.org/observations/5251270","https://static.inaturalist.org/photos/6497062/medium.jpg?1488998619","eccentric_entomophile",5251270,"Sylvan Hairstreak","Insecta",59134,"false",2,0,"2016-05-22 13:38","2016-05-22","2016-05-22 13:38:00 -0700","Pacific Time (US & Canada)",20,"","","false","","",NA,29409,"2017-03-08 11:43:36 -0700","2017-03-09 19:27:10 -0700","research","CC-BY-NC",NA,"false"
"Satyrium sylvinus","2016-05-28 17:03:00 -0700","","San Pasqual Valley, San Diego, CA, USA",33.0703666667,-117.03076,"","Sylvan Hairstreak","https://www.inaturalist.org/observations/5244991","https://static.inaturalist.org/photos/6488176/medium.jpeg?1488921386","naturenate",5244991,"Sylvan Hairstreak","Insecta",59134,"false",1,0,"2016/05/28 5:03 PM PDT","2016-05-28","2016-05-28 17:03:00 -0700","Pacific Time (US & Canada)",NA,"","","false","","",NA,86100,"2017-03-07 14:19:29 -0700","2017-03-07 19:16:45 -0700","research","",NA,"false"
